table_name,table_doc_file,schema,object,module,starts_with
dbo.CV3ClientID,Tbl_aaf6d52e9fb643689b285bfe10a52cb6.htm,dbo,CV3ClientID,CV3,CV3Clien
dbo.CV3ClientIDType,Tbl_02c0b64ae0554bae93153fda53b61980.htm,dbo,CV3ClientIDType,CV3,CV3Clien
dbo.CV3ClientName,Tbl_6deebab793154fa5b5b328bee9ba9135.htm,dbo,CV3ClientName,CV3,CV3Clien
dbo.CV3ClientObsEntryItem,Tbl_ead93a8b1c6f44208da4daee1861a1ac.htm,dbo,CV3ClientObsEntryItem,CV3,CV3Clien
dbo.CV3ClientUserData,Tbl_a66712a961254ab28df21ebbd622d475.htm,dbo,CV3ClientUserData,CV3,CV3Clien
dbo.CV3ClientVisit,Tbl_0442c99734f34291aab121029e7729e1.htm,dbo,CV3ClientVisit,CV3,CV3Clien
dbo.CV3ClientVisitLocation,Tbl_2cea9ca056804b52b82966901681f752.htm,dbo,CV3ClientVisitLocation,CV3,CV3Clien
dbo.CV3ClinicalPathwayHeader,Tbl_a5363cf237a5476fbcd026ae40788ce2.htm,dbo,CV3ClinicalPathwayHeader,CV3,CV3Clini
dbo.CV3ClinicalPathwayOutcome,Tbl_769446bafcbc446e93443503c2033038.htm,dbo,CV3ClinicalPathwayOutcome,CV3,CV3Clini
dbo.CV3CodeSetAttribute,Tbl_430c73f4361b4608817a37cb2e997087.htm,dbo,CV3CodeSetAttribute,CV3,CV3CodeS
dbo.CV3CodedFreqTranslation,Tbl_95442ff8731a4f328b9256af35de23fe.htm,dbo,CV3CodedFreqTranslation,CV3,CV3Coded
dbo.CV3CodedFrequencyGroup,Tbl_81fd4f7f5c9b4f699a519c47e9ca5cf0.htm,dbo,CV3CodedFrequencyGroup,CV3,CV3Coded
dbo.CV3CodedHealthIssue,Tbl_7aad418cf1954e2f9361e21067ef799e.htm,dbo,CV3CodedHealthIssue,CV3,CV3Coded
dbo.CV3CodedHealthIssueSync,Tbl_6ae3eedfd81a47c48364fc3d66ec2089.htm,dbo,CV3CodedHealthIssueSync,CV3,CV3Coded
dbo.CV3CodedHealthIssueType,Tbl_f502888d8be04e7ea7cb6648c2c4a46d.htm,dbo,CV3CodedHealthIssueType,CV3,CV3Coded
dbo.CV3CodedReason,Tbl_1a7ca484c74f4ba7a877ec4ae361b268.htm,dbo,CV3CodedReason,CV3,CV3Coded
dbo.CV3CodedTime,Tbl_01a3055c9909458e83d806626b144c31.htm,dbo,CV3CodedTime,CV3,CV3Coded
dbo.CV3CodedTimeGroup,Tbl_474ab05911e04d5aa464642270e61825.htm,dbo,CV3CodedTimeGroup,CV3,CV3Coded
dbo.CV3CollSchedule,Tbl_bbaa89ac8fd04143b69491c9e789572b.htm,dbo,CV3CollSchedule,CV3,CV3CollS
dbo.CV3CollScheduleDtl,Tbl_2708a69bcc064f4382d4357823432482.htm,dbo,CV3CollScheduleDtl,CV3,CV3CollS
dbo.CV3CollSchedulePolicy,Tbl_2455a9ad37544f3b9985714d5cf0e6f8.htm,dbo,CV3CollSchedulePolicy,CV3,CV3CollS
dbo.CV3CommentDeclaration,Tbl_f64bb4979b4c4e0cb202c0bfb4c771ee.htm,dbo,CV3CommentDeclaration,CV3,CV3Comme
dbo.CV3CommentType,Tbl_76a0900ea4864951a9c089708d19d5cd.htm,dbo,CV3CommentType,CV3,CV3Comme
dbo.CV3CommunicationProcess,Tbl_49fa30a1463449ce9524a72b54c116e9.htm,dbo,CV3CommunicationProcess,CV3,CV3Commu
dbo.CV3CommunicationType,Tbl_6bcaaea5e9234bc1afe4616df4c2affc.htm,dbo,CV3CommunicationType,CV3,CV3Commu
dbo.CV3ComplianceAid,Tbl_1e8e5a5dc2604d07a50c1ca29e2f01ac.htm,dbo,CV3ComplianceAid,CV3,CV3Compl
dbo.CV3ContactType,Tbl_de66fb38d0294370bf8a448be460f82b.htm,dbo,CV3ContactType,CV3,CV3Conta
dbo.CV3CoreUnitOfMeasure,Tbl_30986c5d195f46c684c63d10b4d601ff.htm,dbo,CV3CoreUnitOfMeasure,CV3,CV3CoreU
dbo.CV3CountryDivision,Tbl_6edfdd7a7cb141d780d9f8bc11ec22b5.htm,dbo,CV3CountryDivision,CV3,CV3Count
dbo.CV3CustomMessages,Tbl_2551ea0cf0f04e2e932bceeef147408c.htm,dbo,CV3CustomMessages,CV3,CV3Custo
dbo.CV3CustomizedOrderSelection,Tbl_1953339363984afe9556b37c761e498f.htm,dbo,CV3CustomizedOrderSelection,CV3,CV3Custo
dbo.CV3CustomizedOrderSelectionModHistory,Tbl_2fc5f972f13d4655981363e793bc0f58.htm,dbo,CV3CustomizedOrderSelectionModHistory,CV3,CV3Custo
dbo.CV3CustomizedOrderSelectionXRef,Tbl_9bc4a670fe2247118fbd3d34b9dc069f.htm,dbo,CV3CustomizedOrderSelectionXRef,CV3,CV3Custo
dbo.CV3CustomizedOrderSelectionXRefModHistory,Tbl_5d7d34b0aa2549c2b91f75f521bf6b2e.htm,dbo,CV3CustomizedOrderSelectionXRefModHistory,CV3,CV3Custo
dbo.CV3DailySummaryFSDocXref,Tbl_76a183c9430e4f6aadc43fac8723e8ed.htm,dbo,CV3DailySummaryFSDocXref,CV3,CV3Daily
dbo.CV3DataItem,Tbl_387b85c3856042c0a22de643fed2f48a.htm,dbo,CV3DataItem,CV3,CV3DataI
dbo.CV3DataType,Tbl_a1a2426dd82d495eb95864c9914f0da8.htm,dbo,CV3DataType,CV3,CV3DataT
dbo.CV3DateReference,Tbl_8f1a04f996964afa8761c89cf73955df.htm,dbo,CV3DateReference,CV3,CV3DateR
dbo.CV3DiagnosticExtension,Tbl_4993779f4f8449c5b7f6853eab967ca2.htm,dbo,CV3DiagnosticExtension,CV3,CV3Diagn
dbo.CV3Diluent,Tbl_e48c162525db488180a473337bb21a71.htm,dbo,CV3Diluent,CV3,CV3Dilue
dbo.CV3DischargeDisposition,Tbl_8c3df950fd1a4b18a21955dd1c97a100.htm,dbo,CV3DischargeDisposition,CV3,CV3Disch
dbo.CV3DischargeLocation,Tbl_24719a64b46e43eab6f7d5430316182d.htm,dbo,CV3DischargeLocation,CV3,CV3Disch
dbo.CV3Discipline,Tbl_88c562e0768b43b5bb732772e6843126.htm,dbo,CV3Discipline,CV3,CV3Disci
dbo.CV3DispensingSource,Tbl_f806fe33f71144fc88dc391202b31e3a.htm,dbo,CV3DispensingSource,CV3,CV3Dispe
dbo.CV3DocumentBrowseItem,Tbl_668ebec216e548118980dddb6a958efe.htm,dbo,CV3DocumentBrowseItem,CV3,CV3Docum
dbo.CV3DocumentDetailPhoneNoteCategory,Tbl_71606e4f18894771a3fd6d11e31118ce.htm,dbo,CV3DocumentDetailPhoneNoteCategory,CV3,CV3Docum
dbo.CV3DocumentHeadingItem,Tbl_4ce197a6151f41ba83a33cb72bd4a5c7.htm,dbo,CV3DocumentHeadingItem,CV3,CV3Docum
dbo.CV3DocumentHeadingName,Tbl_c683b0aa97fe468f825090db9dfff563.htm,dbo,CV3DocumentHeadingName,CV3,CV3Docum
dbo.CV3DocumentHealthIssueDecl,Tbl_69fad0f26311498090a673e23d45161c.htm,dbo,CV3DocumentHealthIssueDecl,CV3,CV3Docum
dbo.CV3DocumentReviewCategory,Tbl_e4894ed4243548089c4886782947a493.htm,dbo,CV3DocumentReviewCategory,CV3,CV3Docum
dbo.CV3DocumentSecurityCategory,Tbl_4794710f64c744fb9cc62fd69095623c.htm,dbo,CV3DocumentSecurityCategory,CV3,CV3Docum
dbo.CV3DocumentSource,Tbl_7f41bdf6707a4d8092c0edeb4b4b8954.htm,dbo,CV3DocumentSource,CV3,CV3Docum
dbo.CV3DosageCriteriaType,Tbl_3e5aee66fa5f4c8a9744e00ee84fdbab.htm,dbo,CV3DosageCriteriaType,CV3,CV3Dosag
dbo.CV3DoseBasisGroup,Tbl_29b00827b7ca461c91d621824e4e168e.htm,dbo,CV3DoseBasisGroup,CV3,CV3DoseB
dbo.CV3DoseBasisGroupDtl,Tbl_9f105474fc074196ad0bade0b395e8e5.htm,dbo,CV3DoseBasisGroupDtl,CV3,CV3DoseB
dbo.CV3DoseFormToUOMXref,Tbl_fb4f06b6b32a47188378030fd219608d.htm,dbo,CV3DoseFormToUOMXref,CV3,CV3DoseF
dbo.CV3DosingOption,Tbl_0d08e683c43d46959d66e56dc39fcabb.htm,dbo,CV3DosingOption,CV3,CV3Dosin
dbo.CV3DosingOptionGridColumn,Tbl_60eb231ddb524199966ea1cf1c67b7d3.htm,dbo,CV3DosingOptionGridColumn,CV3,CV3Dosin
dbo.CV3DosingOptionGridRow,Tbl_96f3396245bb4266bcfdacb60572d96c.htm,dbo,CV3DosingOptionGridRow,CV3,CV3Dosin
dbo.CV3DosingOptionGroup,Tbl_e26fd564f09848e7a45f272f96a29d31.htm,dbo,CV3DosingOptionGroup,CV3,CV3Dosin
dbo.CV3DosingOptionGroupXref,Tbl_a12d70c195394906ab47a157ff63d3ec.htm,dbo,CV3DosingOptionGroupXref,CV3,CV3Dosin
dbo.CV3DrugMapping,Tbl_1bb4088772314f24a3a865efb17ef6ff.htm,dbo,CV3DrugMapping,CV3,CV3DrugM
dbo.CV3DrugMappingXRef,Tbl_b1df8058069e47e289b71757e8f6a6d2.htm,dbo,CV3DrugMappingXRef,CV3,CV3DrugM
dbo.CV3DurationUnitAbbreviation,Tbl_ee00a685987a475d8927902f606fdb9c.htm,dbo,CV3DurationUnitAbbreviation,CV3,CV3Durat
dbo.CV3Eligibility,Tbl_0638ff6761364ec4b6fe9435b337bed2.htm,dbo,CV3Eligibility,CV3,CV3Eligi
dbo.CV3EmploymentType,Tbl_67d976728556429f83bf5a9520f595fa.htm,dbo,CV3EmploymentType,CV3,CV3Emplo
dbo.CV3EnterpriseChartData,Tbl_af260d735cf24773a975445a5b4dabb9.htm,dbo,CV3EnterpriseChartData,CV3,CV3Enter
dbo.CV3EnterpriseClientData,Tbl_1259731b75a14bbfbc5878b0213f0530.htm,dbo,CV3EnterpriseClientData,CV3,CV3Enter
dbo.CV3EnterpriseColumnData,Tbl_930f46f9b47846e1a85b2916fc31b11f.htm,dbo,CV3EnterpriseColumnData,CV3,CV3Enter
dbo.CV3EnterpriseColumnDef,Tbl_0721b7c535f24822b483692c90db585e.htm,dbo,CV3EnterpriseColumnDef,CV3,CV3Enter
dbo.CV3EnterpriseVisitData,Tbl_a72f7921890b4a29a470e7e622e5e185.htm,dbo,CV3EnterpriseVisitData,CV3,CV3Enter
dbo.CV3EnumReference,Tbl_1d5daac3cf754197ba1c1f14cbefe70b.htm,dbo,CV3EnumReference,CV3,CV3EnumR
dbo.CV3FRPContract,Tbl_1b2171e698d347dd80757ceacf32b13b.htm,dbo,CV3FRPContract,CV3,CV3FRPCo
dbo.CV3FamilyHistory,Tbl_c1c65a08fa7f413eb3452c5112f75fbd.htm,dbo,CV3FamilyHistory,CV3,CV3Famil
dbo.CV3FamilyMemberInfo,Tbl_ea36847cdf2e4bd8b8268ea3cb261482.htm,dbo,CV3FamilyMemberInfo,CV3,CV3Famil
dbo.CV3FindPatientExtendedConfig,Tbl_2439ae2bb6974b49b64da91b7895e2f1.htm,dbo,CV3FindPatientExtendedConfig,CV3,CV3FindP
dbo.CV3FindPatientExtendedConfigRsltColXRef,Tbl_4b7ffe1453c843aa93dfde1dfa515ccb.htm,dbo,CV3FindPatientExtendedConfigRsltColXRef,CV3,CV3FindP
dbo.CV3FixedScheduleDefinition,Tbl_e9cb384ade804dc1858445a14f58b59e.htm,dbo,CV3FixedScheduleDefinition,CV3,CV3Fixed
dbo.CV3Flowsheet,Tbl_a1e3354df91f4ead9296c5119c657fcf.htm,dbo,CV3Flowsheet,CV3,CV3Flows
dbo.CV3FlowsheetMasterSequence,Tbl_71783aeff8d947dd8564953d7033b14b.htm,dbo,CV3FlowsheetMasterSequence,CV3,CV3Flows
dbo.CV3FlowsheetVersion,Tbl_fbd18855208149478d7b46c8ac046d14.htm,dbo,CV3FlowsheetVersion,CV3,CV3Flows
dbo.CV3FlowsheetVersionItem,Tbl_2f05a34489644994a22e3675e25dff4f.htm,dbo,CV3FlowsheetVersionItem,CV3,CV3Flows
dbo.CV3Frequency,Tbl_8c32f6a3412644e4b698b1f74514ab88.htm,dbo,CV3Frequency,CV3,CV3Frequ
dbo.CV3FrequencyGroupXRef,Tbl_0a456abd85284545864d4f3bb333cc1c.htm,dbo,CV3FrequencyGroupXRef,CV3,CV3Frequ
dbo.CV3Gender,Tbl_a43f893150b4428287abe0a6afca80d9.htm,dbo,CV3Gender,CV3,CV3Gende
dbo.CV3GraphAttribute,Tbl_950c6a18501b47429071b2aba003d60e.htm,dbo,CV3GraphAttribute,CV3,CV3Graph
dbo.CV3GraphDataItem,Tbl_53a0dd291639480a99dc22128de4cb72.htm,dbo,CV3GraphDataItem,CV3,CV3Graph
dbo.CV3GraphObj,Tbl_5b10a9febd814c8193803a46681709a3.htm,dbo,CV3GraphObj,CV3,CV3Graph
dbo.CV3GraphSubgraphXref,Tbl_f3a4483d1eb140aa8d8a6013386f810a.htm,dbo,CV3GraphSubgraphXref,CV3,CV3Graph
dbo.CV3GroupCodedTimes,Tbl_b4c007c5fc244ade9f0fe9fc119eb94b.htm,dbo,CV3GroupCodedTimes,CV3,CV3Group
dbo.CV3HL7LocationType,Tbl_91fd941c95fd4fc594a43125875146f2.htm,dbo,CV3HL7LocationType,CV3,CV3HL7Lo
dbo.CV3HL7UserMap,Tbl_b745af1dd77a44009cac876dcc813898.htm,dbo,CV3HL7UserMap,CV3,CV3HL7Us
dbo.CV3HealthIssueBodySiteXref,Tbl_d06652ebb94940308ece53efa84839ef.htm,dbo,CV3HealthIssueBodySiteXref,CV3,CV3Healt
dbo.CV3HealthIssueBrowseItem,Tbl_ec0279ac62754f6293a1301baee3a400.htm,dbo,CV3HealthIssueBrowseItem,CV3,CV3Healt
dbo.CV3HealthIssueDeclTemplate,Tbl_862a2db57d3f41e78c95e1942d603e0c.htm,dbo,CV3HealthIssueDeclTemplate,CV3,CV3Healt
dbo.CV3HealthIssueDeclaration,Tbl_0af8c2cf1faa44e58cf8186e1b89a642.htm,dbo,CV3HealthIssueDeclaration,CV3,CV3Healt
dbo.CV3HealthIssueStatus,Tbl_c0266e133a4c49999acf4636df75399c.htm,dbo,CV3HealthIssueStatus,CV3,CV3Healt
dbo.CV3HealthIssueType,Tbl_13680987ff8b4f33bdd7a227e3894530.htm,dbo,CV3HealthIssueType,CV3,CV3Healt
dbo.CV3HealthIssueTypeAllowCopyToXRef,Tbl_6187684129f144e781a6a33077b5e1d4.htm,dbo,CV3HealthIssueTypeAllowCopyToXRef,CV3,CV3Healt
dbo.CV3HealthIssueTypeCodingSchemeXRef,Tbl_a2f149152fac460a97793ce9e79904be.htm,dbo,CV3HealthIssueTypeCodingSchemeXRef,CV3,CV3Healt
dbo.CV3HealthIssueTypeStatusXRef,Tbl_424317fb19fb4db1bef081f14d1f6bb3.htm,dbo,CV3HealthIssueTypeStatusXRef,CV3,CV3Healt
dbo.CV3HomeMedicationStatusHistory,Tbl_49726388cb45486caed9fae6e72b969f.htm,dbo,CV3HomeMedicationStatusHistory,CV3,CV3HomeM
dbo.CV3IDRange,Tbl_c7d7278e477e4552927c3ec38ca6b164.htm,dbo,CV3IDRange,CV3,CV3IDRan
dbo.CV3IntakeSubtype,Tbl_93aab07baf434c54afd5a8fc6fc9956a.htm,dbo,CV3IntakeSubtype,CV3,CV3Intak
dbo.CV3InterfaceDocDestination,Tbl_708efb15d3af457b8b64062e898c3526.htm,dbo,CV3InterfaceDocDestination,CV3,CV3Inter
dbo.CV3InterfaceStatus,Tbl_186ad3410a004d71b149a5016ae5cf58.htm,dbo,CV3InterfaceStatus,CV3,CV3Inter
dbo.CV3KnowledgeItemDataEntrySub,Tbl_78f1d33386f14ed7987c51282c740ea6.htm,dbo,CV3KnowledgeItemDataEntrySub,CV3,CV3Knowl
dbo.CV3KnowledgeItemTextLine,Tbl_a67085ce57fd46d09bb5e3968ab1bf22.htm,dbo,CV3KnowledgeItemTextLine,CV3,CV3Knowl
dbo.CV3KnowledgeTreeItem,Tbl_9a43b22117034a1999524f91d3ac048a.htm,dbo,CV3KnowledgeTreeItem,CV3,CV3Knowl
dbo.CV3Language,Tbl_f62929b5565a4cd8a05a61b6c590452f.htm,dbo,CV3Language,CV3,CV3Langu
dbo.CV3Location,Tbl_a60d258578c74b8d9548ede3b82c7b54.htm,dbo,CV3Location,CV3,CV3Locat
dbo.CV3LocationFunctionGroup,Tbl_1ec21587f1344577b1356c017a6c169f.htm,dbo,CV3LocationFunctionGroup,CV3,CV3Locat
dbo.CV3LocationFunctionGroupXref,Tbl_df38adfdfb8c49259297a36c8ffb9ad7.htm,dbo,CV3LocationFunctionGroupXref,CV3,CV3Locat
dbo.CV3LocationScheduleXRef,Tbl_e9a1996aa42f4966ae20791e96edbfa8.htm,dbo,CV3LocationScheduleXRef,CV3,CV3Locat
dbo.CV3LocationType,Tbl_dd7cbcd4a71d46f086000e78ee188022.htm,dbo,CV3LocationType,CV3,CV3Locat
dbo.CV3LocnFacility,Tbl_8437b574bec642f5a30cc7b0074f66db.htm,dbo,CV3LocnFacility,CV3,CV3LocnF
dbo.CV3LogicalPrinter,Tbl_f285e5d380c34810b68960ea06ef6c10.htm,dbo,CV3LogicalPrinter,CV3,CV3Logic
dbo.CV3MaritalStatus,Tbl_4990a6043ab74ab6a78e1173ad563975.htm,dbo,CV3MaritalStatus,CV3,CV3Marit
dbo.CV3MedicationExtension,Tbl_f61b862d4155416299c5802c26bf71aa.htm,dbo,CV3MedicationExtension,CV3,CV3Medic
dbo.CV3MedicationForm,Tbl_54a77f5f29164b23a87228a325aba44a.htm,dbo,CV3MedicationForm,CV3,CV3Medic
